sensor_name,source_address,timestamp,mean_rssi,count
A01,d94147cf12befe41bb40dd7957733c54442de7a9d45a75ec3c747856c4bdc129,2024-04-09T19:17:27Z,-66,2
A01,5e69a0bc9bd73c0b72642e2e0f4f99670b85e8fdf4616bc19fb1f8d63107bfe5,2024-04-09T19:17:27Z,-75,2
A01,05d29a432f4ff4c5f2e49e185334619d4365ef65370fcf9891bc7b1f8c0a68b6,2024-04-09T19:17:27Z,-78,2
A01,a6a0a285818a48c083c72c885283f1652208b3239f70e859f49067b36781acc6,2024-04-09T19:17:27Z,-75,1
A01,b3268f2d7ca90e7ea3ff549decbf484d478c3eaf28784a7bbfbd5aaee22d3a6a,2024-04-09T19:17:27Z,-78,2
A01,f6e4a5fce8432422779b9e68da551a19b24b749ddbd58735bd95334747258d66,2024-04-09T19:17:28Z,-76,2
A01,c419f59d5917e15bd08b3ac2bd37467e8ecc076d44fc138856f3c9178718e118,2024-04-09T19:17:28Z,-71,1
A01,14bb59b4ee06a8c1c27d72811d39d856ea9c98003ed1f563f9d3680cc1d9b63a,2024-04-09T19:17:29Z,-73,1
A01,fa37ab8e615eb19b7a2cdbcea288c51271da5f418e74d892597e9b0b6226f118,2024-04-09T19:17:29Z,-73,1
A01,a6a0a285818a48c083c72c885283f1652208b3239f70e859f49067b36781acc6,2024-04-09T19:17:29Z,-79,1
A01,77a691fd99f6aab6d3df8275a38f11d5b0c17d2a3bf31fbc00cd09846de6a8dd,2024-04-09T19:17:29Z,-73,2
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:17:29Z,-75.4,15
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:17:29Z,-75,2
A01,ec1a957e646c6bec8a4b252ec986c7e5d299c5d783706560eaeee2971b8b63bc,2024-04-09T19:17:30Z,-70,2
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:17:30Z,-77.4444444444444,9
A01,c419f59d5917e15bd08b3ac2bd37467e8ecc076d44fc138856f3c9178718e118,2024-04-09T19:17:30Z,-67,1
A01,766cca1df63f1c570a62157404fd2a38314009b44afda455a94f2ad8fd277990,2024-04-09T19:17:30Z,-69,1
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:17:31Z,-76.3333333333333,9
A01,05d29a432f4ff4c5f2e49e185334619d4365ef65370fcf9891bc7b1f8c0a68b6,2024-04-09T19:17:31Z,-76,2
