sensor_name,source_address,source_address_randomized,timestamp,median_rssi,count
A02,e6ecc92155224108dacf595310cfaf25d428717c9bbd1d391674451115389a56,1,2024-04-09T19:17:31Z,-67,1
A02,d9f7d2cfd59c915900dd475dc6a48e796d797d8b10445b383b1ed9503b243be2,1,2024-04-09T19:17:29Z,-65,1
A02,7315518adbb39d91baee4b30f2af0e2676bc2caf6f4b6c82185489742104a5f6,1,2024-04-09T19:17:29Z,-75,1
A02,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,1,2024-04-09T19:17:25Z,-75,1
A02,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,0,2024-04-09T19:17:31Z,-79,1
A02,bb882772e19725b55510ae8546547dca4629643d77afde3fc7480e9f13391fc7,0,2024-04-09T19:17:20Z,-77,1
A02,8e808f2c6c4a21f24b012b5038a8cf544fce3c05c0c0e3bb82480736d32319dd,0,2024-04-09T19:17:29Z,-75,1
A02,2e326daccc0023b3c175d60aa22beb74a0c2c235f0768f627f6ea3ebd13c1162,1,2024-04-09T19:17:28Z,-77,1
A02,eafcb5ead273a799dff9150f7d484f04a47add626290138bc709b5961b009b9a,1,2024-04-09T19:17:21Z,-79,1
A02,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,0,2024-04-09T19:17:25Z,-75,1
A02,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,2024-04-09T19:17:22Z,-77,1
A02,af37562fae652acb8dbb86da3fe632d5cdb54bff6841657f40f85e393a2d1f2c,0,2024-04-09T19:17:29Z,-71,1
A02,954a9b7e25a41740c24c83bec39deeb22befc521bbcf944d83a4758e3e41cd98,0,2024-04-09T19:17:35Z,-73,1
A02,8d1aca52a45b7bac33bae48b1df8eca3314a44b0a36a36055ec9567b7c89effd,0,2024-04-09T19:17:38Z,-73,1
A02,16a9fe9789fc9a11867b3d14de0743130b968d685334d183d22909046ad0a44a,0,2024-04-09T19:17:20Z,-79,1
A02,d8dd6ff0ea18d82eed0d3ff2d44462933e4d7dbc7fc696b673c17e852ca118d4,1,2024-04-09T19:17:22Z,-71,1
A02,5feac446807e1ba24ade8be6c3c9a374800f337c7f622954759dd78e56bcf7d4,1,2024-04-09T19:17:27Z,-75,1
