timestamp,type,subtype,strength,source_address,source_address_randomized,destination_address,destination_address_randomized,access_point_name,access_point_address,access_point_address_randomized,sequence_number,channel,sensor_name,info
2024-04-09T19:20:07.725995,management,probe-response,-31,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,060d3eb2fe1041c94c14becd8997c729dd7dde15a9a28bae037828bb915f520d,1,Public WiFi Free,ef27698d706f9e59d717591e2687ca07166ef06ab8d30a828e1e9194e5cf9e4b,0,1828,1,A01,""
2024-04-09T19:20:07.729273,management,probe-response,-31,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,060d3eb2fe1041c94c14becd8997c729dd7dde15a9a28bae037828bb915f520d,1,Public WiFi Secure,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,945,1,A01,""
2024-04-09T19:20:07.732544,management,probe-response,-31,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,060d3eb2fe1041c94c14becd8997c729dd7dde15a9a28bae037828bb915f520d,1,Public WiFi Secure,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,945,1,A01,""
2024-04-09T19:20:07.738119,management,probe-response,-31,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,060d3eb2fe1041c94c14becd8997c729dd7dde15a9a28bae037828bb915f520d,1,Public WiFi Secure,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,945,1,A01,""
2024-04-09T19:20:07.741957,management,probe-response,-31,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,060d3eb2fe1041c94c14becd8997c729dd7dde15a9a28bae037828bb915f520d,1,Public WiFi Free,c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,1792,1,A01,""
2024-04-09T19:20:08.592693,data,data,-29,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,0,ff:ff:ff:ff:ff:ff,1,(n/a),d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,1,3986,1,A01,""
2024-04-09T19:20:08.594295,data,data,-29,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,0,ff:ff:ff:ff:ff:ff,1,(n/a),c9e82aa85c8c63eb0b24953e8aea03532ea1d64edc60f22d2d2472f8db4c043e,1,98,1,A01,""
2024-04-09T19:20:08.705957,management,probe-response,-79,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,8b0e1130f21d9d5729695e6ea9632eccdd024cd8b779fe114a6ed46d5eda4f5f,0,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1232,1,A01,""
2024-04-09T19:20:08.875970,management,probe-response,-63,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,c59a3c448a7eb61efd5f63f07c8f1bd42a65638278787ab33e25e6853a68cf05,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1294,6,A01,""
2024-04-09T19:20:08.886006,management,probe-response,-77,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,a1d51826b334ca6e092970d39f69e78e21244ca0a154dd8eeeb938b06db3d862,1,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1235,1,A01,""
